開始日時,終了日時,滞在時間,状態,アプリケーション名,ウィンドウタイトル,AI作業解析内容
2026/08/12 14:43:22,2026/08/12 14:43:26,4秒,作業中,AI_DX_Logger.exe,DX推進アシスタント (AIロガー),
2026/08/12 14:43:26,2026/08/12 14:43:33,7秒,作業中,explorer.exe,基幹→OA - エクスプローラー,
2026/08/12 14:43:33,2026/08/12 14:43:34,1秒,作業中,EXCEL.EXE,起動しています - Excel,
2026/08/12 14:43:34,2026/08/12 14:43:44,10秒,作業中,EXCEL.EXE,Excel,
2026/08/12 14:43:44,2026/08/12 14:43:59,14秒,作業中,EXCEL.EXE,0812長期欠品管理表.xlsb - Excel,
2026/08/12 14:43:59,2026/08/12 14:44:00,1秒,作業中,EXCEL.EXE,【長期欠品更新専用】品目情報.csv - Excel,
2026/08/12 14:44:00,2026/08/12 14:44:01,1秒,作業中,EXCEL.EXE,未入荷リスト_新.csv - Excel,
2026/08/12 14:44:01,2026/08/12 14:44:02,1秒,作業中,EXCEL.EXE,Excel,
2026/08/12 14:44:02,2026/08/12 14:44:35,33秒,作業中,EXCEL.EXE,長期欠品設定解除依頼.xlsx - Excel,
2026/08/12 14:44:35,2026/08/12 14:44:38,3秒,作業中,EXCEL.EXE,【長期欠品更新専用】品目情報.csv - Excel,
2026/08/12 14:44:38,2026/08/12 14:44:43,5秒,作業中,EXCEL.EXE,0812長期欠品管理表.xlsb - Excel,
2026/08/12 14:44:43,2026/08/12 14:44:44,1秒,作業中,EXCEL.EXE,,
2026/08/12 14:44:44,2026/08/12 14:44:45,1秒,作業中,Unknown,【長期欠品更新専用】品目情報.csv - Excel (応答なし),
2026/08/12 14:44:45,2026/08/12 14:44:46,1秒,作業中,EXCEL.EXE,【長期欠品更新専用】品目情報.csv - Excel,
2026/08/12 14:44:46,2026/08/12 14:44:49,3秒,作業中,EXCEL.EXE,,
2026/08/12 14:44:49,2026/08/12 14:44:56,7秒,作業中,EXCEL.EXE,0812長期欠品管理表.xlsb - Excel,
2026/08/12 14:44:56,2026/08/12 14:44:57,1秒,作業中,EXCEL.EXE,長期欠品設定解除依頼.xlsx - Excel,
2026/08/12 14:44:57,2026/08/12 14:45:01,4秒,作業中,EXCEL.EXE,【長期欠品更新専用】品目情報.csv - Excel,
2026/08/12 14:45:01,2026/08/12 14:45:03,2秒,作業中,EXCEL.EXE,,
2026/08/12 14:45:03,2026/08/12 14:45:04,1秒,作業中,EXCEL.EXE,【長期欠品更新専用】品目情報.csv - Excel,
2026/08/12 14:45:04,2026/08/12 14:45:06,2秒,作業中,EXCEL.EXE,0812長期欠品管理表.xlsb - Excel,
2026/08/12 14:45:06,2026/08/12 14:45:11,5秒,作業中,EXCEL.EXE,,
2026/08/12 14:45:11,2026/08/12 14:45:13,2秒,作業中,EXCEL.EXE,0812長期欠品管理表.xlsb - Excel,
2026/08/12 14:45:13,2026/08/12 14:45:14,1秒,作業中,EXCEL.EXE,,
2026/08/12 14:45:14,2026/08/12 14:45:15,1秒,作業中,EXCEL.EXE,【長期欠品更新専用】品目情報.csv - Excel,
2026/08/12 14:45:15,2026/08/12 14:45:16,1秒,作業中,explorer.exe,タスクの切り替え,
2026/08/12 14:45:16,2026/08/12 14:45:22,6秒,作業中,EXCEL.EXE,0812長期欠品管理表.xlsb - Excel,
2026/08/12 14:45:22,2026/08/12 14:45:27,4秒,作業中,WindowsTerminal.exe,C:\Users\FMV\Desktop\AI_DX_Logger.exe,
2026/08/12 14:59:39,2026/08/12 14:59:43,4秒,作業中,AI_DX_Logger.exe,DX推進アシスタント (AIロガー),
2026/08/12 14:59:43,2026/08/12 14:59:44,1秒,作業中,explorer.exe,Program Manager,
2026/08/12 14:59:44,2026/08/12 14:59:46,2秒,作業中,explorer.exe,営業管理部 - エクスプローラー,
2026/08/12 14:59:46,2026/08/12 14:59:48,2秒,作業中,explorer.exe,基幹→OA - エクスプローラー,
2026/08/12 14:59:48,2026/08/12 14:59:53,5秒,作業中,EXCEL.EXE,Excel,
2026/08/12 14:59:53,2026/08/12 15:00:13,20秒,作業中,EXCEL.EXE,0812長期欠品管理表.xlsb - Excel,
2026/08/12 15:00:13,2026/08/12 15:00:14,1秒,作業中,EXCEL.EXE,,
2026/08/12 15:00:14,2026/08/12 15:00:25,11秒,作業中,EXCEL.EXE,0812長期欠品管理表.xlsb - Excel,
2026/08/12 15:00:25,2026/08/12 15:00:26,1秒,作業中,EXCEL.EXE,,
2026/08/12 15:00:26,2026/08/12 15:00:33,7秒,作業中,EXCEL.EXE,0812長期欠品管理表.xlsb - Excel,
2026/08/12 15:00:33,2026/08/12 15:00:35,2秒,作業中,explorer.exe,基幹→OA - エクスプローラー,
2026/08/12 15:00:35,2026/08/12 15:00:59,23秒,作業中,EXCEL.EXE,0812長期欠品管理表.xlsb - Excel,
2026/08/12 15:00:59,2026/08/12 15:01:36,37秒,作業中,EXCEL.EXE,【長期欠品更新専用】品目情報.csv - Excel,
2026/08/12 15:01:36,2026/08/12 15:01:39,3秒,作業中,EXCEL.EXE,,
2026/08/12 15:01:39,2026/08/12 15:01:47,8秒,作業中,EXCEL.EXE,【長期欠品更新専用】品目情報.csv - Excel,
2026/08/12 15:01:47,2026/08/12 15:01:49,2秒,作業中,EXCEL.EXE,0812長期欠品管理表.xlsb - Excel,
2026/08/12 15:01:49,2026/08/12 15:01:50,1秒,作業中,EXCEL.EXE,,
2026/08/12 15:01:50,2026/08/12 15:01:56,6秒,作業中,EXCEL.EXE,0812長期欠品管理表.xlsb - Excel,
2026/08/12 15:01:56,2026/08/12 15:01:57,1秒,作業中,EXCEL.EXE,【長期欠品更新専用】品目情報.csv - Excel,
2026/08/12 15:01:57,2026/08/12 15:01:59,1秒,作業中,EXCEL.EXE,Microsoft Excel,
