Timestamp,ActiveApp,EventType,TargetName,Metadata
2026-08-12 14:43:22,AI_DX_Logger.exe,Copy,DX推進アシスタント (AIロガー),"Size:69 chars, Data:[Z:\システム統括部\システム部\システム運営課\products\自動データ取得結果\商品部在庫管理課\長期欠品フラグ更新\0812手動...]"
2026-08-12 14:43:26,explorer.exe,PotentialTransfer (Paste),基幹→OA - エクスプローラー,"Source: AI_DX_Logger.exe, Data:[Z:\システム統括部\システム部\システム運営課\products\自動データ取得結果\商品部在庫管...]"
2026-08-12 14:43:32,explorer.exe,KeyLog,基幹→OA - エクスプローラー,Keys:[ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l]
2026-08-12 14:43:33,EXCEL.EXE,PotentialTransfer (Paste),起動しています - Excel,"Source: AI_DX_Logger.exe, Data:[Z:\システム統括部\システム部\システム運営課\products\自動データ取得結果\商品部在庫管...]"
2026-08-12 14:44:01,excel.exe,WorkbookOpen,長期欠品設定解除依頼.xlsx,
2026-08-12 14:44:38,EXCEL.EXE,KeyLog,0812長期欠品管理表.xlsb - Excel,Keys:[ctrl_l][ctrl_l][ctrl_l][ctrl_l][Ctrl+C]
2026-08-12 14:44:45,EXCEL.EXE,Copy,【長期欠品更新専用】品目情報.csv - Excel,"Size:75923081 chars, Data:[品目cd(em190)	仕入先cd(em190)	仕入先名称(em120)	倉庫cd(ef10)	品目名(em160)	Jan Cd(em164)	仕入荷姿名(em170)	仕入時最小荷姿換算数(em...]"
2026-08-12 14:44:47,EXCEL.EXE,KeyLog,,Keys:[alt_l][tab][ctrl_l][ctrl_l][ctrl_l][Ctrl+C][alt_l][tab]
2026-08-12 14:44:51,EXCEL.EXE,KeyLog,0812長期欠品管理表.xlsb - Excel,Keys:[ctrl_l][Ctrl+V]
2026-08-12 14:45:18,EXCEL.EXE,KeyLog,0812長期欠品管理表.xlsb - Excel,Keys:[alt_l][tab][ctrl_l][ctrl_l][Ctrl+C][alt_l][tab][ctrl_l][Ctrl+V]
2026-08-12 14:45:24,WindowsTerminal.exe,PotentialTransfer (Paste),C:\Users\FMV\Desktop\AI_DX_Logger.exe,"Source: EXCEL.EXE, Data:[品目cd(em190)	仕入先cd(em190)	仕入先名称(em120)	倉庫cd(ef10)	品...]"
2026-08-12 14:45:27,AI_DX_Logger.exe,PotentialTransfer (Paste),DX推進アシスタント (AIロガー),"Source: EXCEL.EXE, Data:[品目cd(em190)	仕入先cd(em190)	仕入先名称(em120)	倉庫cd(ef10)	品...]"
2026-08-12 14:59:44,explorer.exe,KeyLog,営業管理部 - エクスプローラー,Keys:[cmd]d
2026-08-12 14:59:58,EXCEL.EXE,KeyLog,0812長期欠品管理表.xlsb - Excel,Keys:[ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][down]
2026-08-12 15:00:00,EXCEL.EXE,Copy,0812長期欠品管理表.xlsb - Excel,"Size:153 chars, Data:[9857	2026/8/10	1503AY	ANGC-STW-24-A-PB/LEDｺｰﾄﾞﾚｽｲﾝﾃﾘｱｽﾀﾝﾄﾞ ﾋﾟﾝｸﾍﾞｰｼﾞｭ	1	欠品中	2026/8/10	佐々木	9999	E	0	9...]"
2026-08-12 15:00:02,excel.exe,SheetChange,Excel,"Sheet:①長期欠品, Cell:$9892:$9892, Value:"
2026-08-12 15:00:04,excel.exe,SheetChange,Excel,"Sheet:①長期欠品, Cell:$B$9892, Value:"
2026-08-12 15:00:05,EXCEL.EXE,KeyLog,0812長期欠品管理表.xlsb - Excel,Keys:[ctrl_l][ctrl_l][ctrl_l][Ctrl+C][ctrl_l][Ctrl+V]/[enter]
2026-08-12 15:00:08,excel.exe,SheetChange,Excel,"Sheet:①長期欠品, Cell:$H$9892, Value:在庫ﾁｰﾑ"
2026-08-12 15:00:10,EXCEL.EXE,KeyLog,0812長期欠品管理表.xlsb - Excel,Keys:zaiko[space]ti-mu[enter][enter]
2026-08-12 15:00:12,EXCEL.EXE,Copy,0812長期欠品管理表.xlsb - Excel,"Size:62 chars, Data:[2023/11/2	32278	試)◇神馬/SA390V-3/ﾌﾗｯﾌｨｰﾁｪｯｸﾍﾞｽﾄ ﾋﾟﾝｸﾁｪｯｸ 19号	3  ...]"
2026-08-12 15:00:14,EXCEL.EXE,KeyLog,,Keys:[ctrl_l][Ctrl+C][ctrl_l][shift][down]
2026-08-12 15:00:15,excel.exe,SheetChange,Excel,"Sheet:①長期欠品, Cell:$B$5:$E$9861, Value:"
2026-08-12 15:00:18,excel.exe,SheetChange,Excel,"Sheet:②長期欠品解除, Cell:$C$5:$D$162, Value:((None, None), (None, None), (None, None), (None, None), (None, None), (None, None), (None, None), ("
2026-08-12 15:00:19,EXCEL.EXE,KeyLog,0812長期欠品管理表.xlsb - Excel,Keys:[ctrl_l][ctrl_l][ctrl_l][up][down][shift][left][ctrl_l][down][down][down][delete]
2026-08-12 15:00:22,EXCEL.EXE,KeyLog,0812長期欠品管理表.xlsb - Excel,Keys:[ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][left][down]
2026-08-12 15:00:23,EXCEL.EXE,Copy,0812長期欠品管理表.xlsb - Excel,"Size:125 chars, Data:[2296	2026/8/7	205918	Forestway/布ﾃｰﾌﾟ 軽量 0.2mm厚 50mm×25m 茶	9/中旬頃欠品の恐れ	大澤	9999	17	A1	鶴巻	#N/A	1	25234	2...]"
2026-08-12 15:00:25,EXCEL.EXE,KeyLog,0812長期欠品管理表.xlsb - Excel,Keys:[ctrl_l][Ctrl+C]
2026-08-12 15:00:26,excel.exe,SheetChange,Excel,"Sheet:③社外サイト販売休止, Cell:$2300:$2302, Value:"
2026-08-12 15:00:29,excel.exe,SheetChange,Excel,"Sheet:③社外サイト販売休止, Cell:$E$2300, Value:メーカー出荷8/27以降のため"
2026-08-12 15:00:30,excel.exe,SheetChange,Excel,"Sheet:③社外サイト販売休止, Cell:$E$2300:$E$2302, Value:(('メーカー出荷8/27以降のため',), ('メーカー出荷8/27以降のため',), ('メーカー出荷8/27以降のため',))"
2026-08-12 15:00:32,EXCEL.EXE,KeyLog,0812長期欠品管理表.xlsb - Excel,Keys:[backspace][enter][up][shift][down][down][ctrl_l]
2026-08-12 15:00:59,excel.exe,WorkbookOpen,【長期欠品更新専用】品目情報.csv,
2026-08-12 15:01:06,EXCEL.EXE,KeyLog,【長期欠品更新専用】品目情報.csv - Excel,Keys:[ctrl_l][Ctrl+A][Ctrl+A][ctrl_l][ctrl_l][Ctrl+C]
2026-08-12 15:01:12,EXCEL.EXE,Copy,【長期欠品更新専用】品目情報.csv - Excel,"Size:75923081 chars, Data:[品目cd(em190)	仕入先cd(em190)	仕入先名称(em120)	倉庫cd(ef10)	品目名(em160)	Jan Cd(em164)	仕入荷姿名(em170)	仕入時最小荷姿換算数(em...]"
2026-08-12 15:01:55,excel.exe,SheetChange,Excel,"Sheet:品目, Cell:$1:$1048576, Value:"
2026-08-12 15:02:02,excel.exe,WorkbookOpen,未入荷リスト_新.csv,
2026-08-12 15:02:05,EXCEL.EXE,Copy,未入荷リスト_新.csv - Excel,"Size:1738018 chars, Data:[仕入先Cd	仕入先名	品目Cd	品目名	①長期欠品ﾌﾗｸﾞ	備考	発注数	単価	伝票番号	発注日	納期	指定納期	ﾘｰﾄﾞﾀｲﾑ	倉庫Cd	未引当数	有効在庫数	発注ﾗﾝｸ	出荷可能曜日	お届可能曜日...]"
2026-08-12 15:02:07,EXCEL.EXE,KeyLog,0812長期欠品管理表.xlsb - Excel,Keys:[ctrl_l][shift][right][down][ctrl_l][Ctrl+C]
