,,品目のオレンジは箱バラ,,,箱バラなし,,,,,,,,,,,,,,,,,,,,改定後,,,,,,,,,,,,,,,,,,,VDなし,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,原価用,売価用,VD用,,,,,,箱バラ確認,,現行,,,,,,,,,,,,,,箱バラ用,,箱バラ用,,参考,,,,,,263除く,,,,,,,,,,,,,,,,,,51,,,,,,,,14,28,,,,,,,,
No.,新No.,品目CD,品目TEXT,注文番号,"品目+
FW荷姿",商品名,JAN,荷姿,キー,"JAN
確認","品目
確認","小売
価格
(税抜）",売価,仕切,粗利率,VD2,VD2始,VD2終,VD3,VD3始,VD3終,VD4,VD4始,VD4終,"小売
価格
(税抜)","小売
価格
(税抜)
換算",仕切,"仕切
換算",換算,"スライド
売価",粗利率,月販,"AS
換算
売価","ｱｽｸﾙ
ｽﾗｲﾄﾞ",粗利率,売価1,粗利率,粗利額,売価2,"売価2
粗利率","売価2
粗利額","定価
値上率","売価1
値上げ率","原価
値上率",VD2,VD2始,VD2終,VD3,VD3始,VD3終,VD4,VD4始,VD4終,カタログ,アスクル,FW入数,アスクル入数,税込,6月売価,7月売価,換算金額,倉庫,品目群,細分類,"6月
たの","7月
たの","たの
ｽﾗｲﾄﾞ","6月
カウ","7月
カウ","カウ
ｽﾗｲﾄﾞ",アスクル商品名
59,59,J524SB,J524SB,J524SB,J524SB5,ﾚｯｸ/ｼｰﾙはがし 50mL/H00511,4903320162938 ,5 ,,1 ,1 ,0,688,488,29.1%,-,,,,,,,,,0,0,537,537,,757,29.1%,0.5,742,816.5040984,34.2%,810,33.7%,273,,,,-,117.7%,110.0%,,,,,,,,,,0,UW32963,,,1個,742,742,742,4,8,6051065,-,-,-,1455,1455,1601.096311,レック シール剥がし フック剥がし 粘着テープ 449441 1個（直送品）
60,60,J1700Y,J1700Y,J1700Y,J1700Y5,ﾚｯｸ/強力ｼｰﾙ&ﾌｯｸはがし 45mL/H00512,4903320162945 ,5 ,,1 ,1 ,0,734,513,30.1%,-,,,,,,,,,0,0,565,565,,808,30.1%,0,809,891.0038986,36.6%,850,33.5%,285,,,,-,115.8%,110.1%,,,,,,,,,,0,EW59171,,,1個,809,809,809,4,8,6051065,-,-,-,800,800,881.0916179,レック 強力シール&フックはがし 泡タイプ H00512 1個
64,64,J4231R,J4231R,J4231R,J4231R5,ﾚｯｸ/ｱﾝﾊﾟﾝﾏﾝ はし 15cm ｷｯｽﾞ用/A00265,4903320163720 ,5 ,,1 ,1 ,0,274,196,28.5%,-,,,,,,,,,0,0,216,216,,302,28.5%,0,296,326.2040816,33.8%,325,33.5%,109,,,,-,118.6%,110.2%,,,,,,,,,,0,UW35663,,,1個,296,296,296,4,8,6209080,-,-,-,532,532,586.2857143,レック 箸 15cm アンパンマン 子ども用 竹 446214 1個（直送品）
62,62,J4229R,J4229R,J4229R,J4229R5,ﾚｯｸ/ｱﾝﾊﾟﾝﾏﾝ 抗菌 ｽﾌﾟｰﾝ ｷｯｽﾞ用/A00248,4903320163706 ,5 ,,1 ,1 ,0,359,257,28.4%,-,,,,,,,,,0,0,283,283,,395,28.4%,0.25,408,449.2762646,37.0%,428,33.9%,145,,,,-,119.2%,110.1%,,,,,,,,,,0,UK50801,,,1個,408,408,408,4,8,6209080,-,-,-,606,606,667.307393,ＡＮ抗菌スプーン アンパンマン すくいやすく飲みやすい 1個 レック
63,63,J4230R,J4230R,J4230R,J4230R5,ﾚｯｸ/ｱﾝﾊﾟﾝﾏﾝ 抗菌 ﾌｫｰｸ ｷｯｽﾞ用/A00249,4903320163713 ,5 ,,1 ,1 ,0,389,257,33.9%,-,,,,,,,,,0,0,283,283,,428,33.9%,0.25,408,449.2762646,37.0%,428,33.9%,145,,,,-,110.0%,110.1%,,,,,,,,,,0,UK50802,,,1個,408,408,408,4,8,6209080,-,-,-,606,606,667.307393,ＡＮ抗菌フォーク アンパンマン さしやすく食べやすい 1個 レック
95,95,J0225Y,J0225Y,J0225Y,J0225Y5,ﾚｯｸ/ｱﾝﾊﾟﾝﾏﾝ おぼえばし 15cm/T-279,4903320427907 ,5 ,,1 ,1 ,0,382,282,26.2%,-,,,,,,,,,0,0,312,312,,423,26.2%,2.5,591,653.8723404,52.3%,470,33.6%,158,,,,-,123.0%,110.6%,,,,,,,,,,0,HN86266,,,1個,591,591,591,4,8,6209080,-,-,-,833,833,921.6170213,レック トレーニング箸 持ちかた覚え箸 日本製 アンパンマン 15cm 右きき用 キャラクター 273448 1個（直送品）
61,61,J8602Y,J8602Y,J8602Y,J8602Y5,ﾚｯｸ/ｱﾝﾊﾟﾝﾏﾝ 抗菌 ｽﾗｲﾄﾞ式 3点ｾｯﾄ ｲｴﾛｰ,4903320163683 ,5 ,,1 ,1 ,0,1143,842,26.3%,-,,,,,,,,,0,0,927,927,,1258,26.3%,0.25,1258,1384.995249,33.1%,1380,32.8%,453,,,,-,120.7%,110.1%,,,,,,,,,,0,UK50800,,,1個,1258,1258,1258,4,8,6209080,-,-,-,1862,1862,2049.969121,ＡＮ抗菌スライド3点セット（Y）アンパンマン すくいやすいスプーン・つかみやすいはし・しっかりさせるフォーク 1個 レック
96,96,J20887,J20887,J20887,J208875,ﾆｯｺｰ/ﾁｬｯｸ付きﾎﾟﾘ袋 0.04×50×70mm 80枚/A-5,4904182843218 ,5 ,,1 ,1 ,0,123,77,37.4%,-,,,,,,,,,0,0,91,91,,145,37.2%,19,158.89,187.7790909,51.5%,145,37.2%,54,,,,-,117.9%,118.2%,,,,,,,,,,0,AKE6429,1,100,1箱（80枚/袋×100袋）,15889,15889,158.89,4,1,18051505,-,-,-,-,-,-,ニッコー A-5 チャック付きポリ袋 1箱(80枚/袋×100袋)（直送品）
97,97,J20888,J20888,J20888,J208885,ﾆｯｺｰ/ﾁｬｯｸ付きﾎﾟﾘ袋 0.04×70×100mm 50枚/C-5,4904182843232 ,5 ,,1 ,1 ,0,122,77,36.9%,-,,,,,,,,,0,0,91,91,,144,36.8%,5.25,145,171.3636364,46.9%,145,37.2%,54,,,,-,118.9%,118.2%,,,,,,,,,,0,UK42452,,,1パック（50枚入）,120,145,145,4,1,18051505,-,-,-,-,-,-,ニッコー チャック付 ポリ袋 7×10cm C-5 1パック(50枚入)（直送品）
98,98,J20889,J20889,J20889,J208895,ﾆｯｺｰ/ﾁｬｯｸ付きﾎﾟﾘ袋 0.04×85×120mm 40枚/D-5,4904182843249 ,5 ,,1 ,1 ,0,123,77,37.4%,-,,,,,,,,,0,0,91,91,,145,37.2%,3.75,145,171.3636364,46.9%,145,37.2%,54,,,,-,117.9%,118.2%,,,,,,,,,,0,UK42340,,,1パック（40枚入）,120,145,145,4,1,18051505,-,-,-,-,-,-,ニッコー チャック付 ポリ袋 8.5×12cm D-5 1パック(40枚入)（直送品）
99,99,J20890,J20890,J20890,J208905,ﾆｯｺｰ/ﾁｬｯｸ付きﾎﾟﾘ袋 0.04×100×140mm 30枚/E-5,4904182843256 ,5 ,,1 ,1 ,0,123,77,37.4%,-,,,,,,,,,0,0,91,91,,145,37.2%,2,145,171.3636364,46.9%,145,37.2%,54,,,,-,117.9%,118.2%,,,,,,,,,,0,UK42448,,,1パック（30枚入）,120,145,145,4,1,18051505,-,-,-,-,-,-,ニッコー チャック付 ポリ袋 10×14cm E-5 1パック(30枚入)（直送品）
100,100,J20891,J20891,J20891,J208915,ﾆｯｺｰ/ﾁｬｯｸ付きﾎﾟﾘ袋 0.04×120×170mm 25枚/F-5,4904182843263 ,5 ,,1 ,1 ,0,123,77,37.4%,-,,,,,,,,,0,0,91,91,,145,37.2%,1,145,171.3636364,46.9%,145,37.2%,54,,,,-,117.9%,118.2%,,,,,,,,,,0,UK42334,,,1パック（25枚入）,120,145,145,4,8,18051505,-,-,-,-,-,-,ニッコー チャック付 ポリ袋 12×17cm F-5 1パック(25枚入)（直送品）
101,101,J20892,J20892,J20892,J208925,ﾆｯｺｰ/ﾁｬｯｸ付きﾎﾟﾘ袋 0.04×140×200mm 20枚/G-5,4904182843270 ,5 ,,1 ,1 ,0,123,77,37.4%,-,,,,,,,,,0,0,91,91,,145,37.2%,2.5,145,171.3636364,46.9%,145,37.2%,54,,,,-,117.9%,118.2%,,,,,,,,,,0,UK42395,,,1パック（20枚入）,120,145,145,4,8,18051505,-,-,-,-,-,-,ニッコー チャック付 ポリ袋 14×20cm G-5 1パック(20枚入)（直送品）
102,102,J20885,J20885,J20885,J208855,ﾆｯｺｰ/ｽﾗｲﾀﾞｰ式ｼﾞｯﾊﾟｰM 45枚,4904182848718 ,5 ,,1 ,1 ,0,496,321,35.3%,-,,,,,,,,,0,0,366,366,,566,35.3%,4.5,652.7777778,744.2886812,50.8%,580,36.9%,214,,,,-,116.9%,114.0%,,,,,,,,,,0,AKE6309,1,36,1箱（45枚/袋×36袋）,23500,23500,652.7777778,4,1,18052005,-,-,-,-,-,-,ニッコー SZ-45 スライダー式ジッパー冷凍冷蔵保存パックM 1箱(45枚/袋×36袋)（直送品）
103,103,J20886,J20886,J20886,J208865,ﾆｯｺｰ/ﾊﾐﾝｸﾞﾊﾟｯｸBOXﾎﾟﾘ袋200枚,4904182850452 ,5 ,,1 ,1 ,0,324,206,36.4%,-,,,,,,,,,0,0,243,243,,382,36.4%,22.75,#VALUE!,-,-,357,31.9%,114,,,,-,110.2%,118.0%,,,,,,,,,,0,AWR8571,1,40,1ケース(200枚入×40),12120,-,#VALUE!,4,1,18052505,-,-,-,388,388,457.6893204,ニッコー ハミングパック BOXポリ袋(エンボス加工) ヨコ23×タテ34cm AT-2 1ケース(200枚入×40)（直送品）
105,105,J20894,J20894,J20894,J208945,ﾆｯｺｰ/ﾊﾐﾝｸﾞﾊﾟｯｸ 30L 100枚/A-30,4904182851268 ,5 ,,1 ,1 ,0,552,400,27.5%,-,,,,,,,,,0,0,476,476,,657,27.5%,5.75,1139.875,1356.45125,64.9%,710,33.0%,234,,,,-,128.6%,119.0%,,,,,,,,,,0,AKE6455,1,16,1箱（100枚/袋×16袋）,18238,18238,1139.875,4,1,18052505,-,-,-,-,-,-,ニッコー A-30 30Lポリ袋半透明 1箱(100枚/袋×16袋)（直送品）
104,104,J20893,J20893,J20893,J208935,ﾆｯｺｰ/ﾎﾟﾘ袋箱入200枚×3個ｾｯﾄ/AB-3-3,4904182850599 ,5 ,,1 ,1 ,0,1052,664,36.9%,-,,,,,,,,,0,0,775,775,,1228,36.9%,5.25,1406.5,1641.622741,52.8%,1250,38.0%,475,,,,-,118.8%,116.7%,,,,,,,,,,0,AKE6289,1,12,1箱（12セット）,16878,16878,1406.5,4,1,18052505,-,-,-,-,-,-,ニッコー AB-3-3 BOXポリ袋 (200枚/箱×3箱入)/セット 1箱(12セット)（直送品）
78,78,697169,697169,697169,6971695,ﾚｯｸ/ﾏｸﾞﾈｯﾄ輪ｺﾞﾑ掛け 500g/H-135,4903320253582 ,5 ,,1 ,1 ,0,284,167,41.2%,-,,,,,,,,,0,0,188,188,,320,41.3%,2.25,#VALUE!,-,-,320,41.3%,132,,,,-,112.7%,112.6%,,,,,,,,,,29/222,EN29631,1,5,1セット（5個）,1426,-,#VALUE!,4,1,19250565,257,257,289.3173653,-,-,-,レック マグネット輪ゴム掛け 補助板付き 500g H-135 1セット(5個)
83,83,J1701Y,J1701Y,J1701Y,J1701Y5,ﾚｯｸ/ﾏｸﾞﾈｯﾄﾂｰﾙﾌｯｸ(丸小) 2個入/H-362,4903320276208 ,5 ,,1 ,1 ,0,332,190,42.8%,-,,,,,,,,,0,0,210,210,,367,42.8%,8.5,330,364.7368421,42.4%,360,41.7%,150,,,,-,108.4%,110.5%,,,,,,,,,,0,EN29600,,,1パック（2個）,330,330,330,4,8,19250565,-,-,-,330,330,364.7368421,レック マグネットツールフック(丸小) 500g H-362 1パック(2個)
93,93,J9032X,J9032X,J9032X,J9032X5,ﾚｯｸ/ﾏｸﾞﾈｯﾄ用補助板 吸着ｼｰﾄ 2個入/O-266,4903320386600 ,5 ,,1 ,1 ,800,361,200,44.6%,-,,,,,,,,,0,0,221,221,,399,44.6%,3.5,350,386.75,42.9%,380,41.8%,159,,,,0.0%,105.3%,110.5%,,,,,,,,,,0,EN29654,,,1パック（2個）,350,350,350,4,8,19250565,-,-,-,433,433,478.465,レック マグネット用補助板(吸着シート) はがせる 跡が残らない 1kg O-266 1パック(2個)
23,23,J254SD,J254SD,J254SD,J254SD5,ﾚｯｸ/ﾏｸﾞﾈｯﾄﾂｰﾙﾌｯｸ (丸) 2個入 ﾎﾜｲﾄ/H00427,4903320162396 ,5 ,,1 ,1 ,0,548,318,42.0%,-,,,,,,,,,0,0,350,350,,603,42.0%,3.75,544,598.7421384,41.5%,598,41.5%,248,,,,-,109.1%,110.1%,,,,,,,,,,34/218,EW60815,,,1パック（2個）,544,544,544,4,1,19250565,-,-,-,544,544,598.7421384,レック マグネットツールフック（丸） ホワイト 耐荷重1kg H00427 1パック（2個）
