Timestamp,ActiveApp,EventType,TargetName,Metadata
2026-08-10 13:54:44,excel.exe,SheetChange,Excel,"Sheet:発注データ入力, Cell:$A$6:$G$15, Value:((None, None, None, None, None, None, None), (None, None, None, None, None, None, None), (None, None"
2026-08-10 13:54:46,EXCEL.EXE,KeyLog,テスト発注業務_数式手入力用.xlsx - Excel,Keys:[delete]
2026-08-10 13:54:49,excel.exe,SheetChange,Excel,"Sheet:発注データ入力, Cell:$A$6, Value:2026-08-12 00:00:00+00:00"
2026-08-10 13:54:52,excel.exe,SheetChange,Excel,"Sheet:発注データ入力, Cell:$A$7, Value:2026-08-13 00:00:00+00:00"
2026-08-10 13:54:55,excel.exe,SheetChange,Excel,"Sheet:発注データ入力, Cell:$A$8, Value:2026-08-14 00:00:00+00:00"
2026-08-10 13:54:57,EXCEL.EXE,KeyLog,テスト発注業務_数式手入力用.xlsx - Excel,Keys:/[enter][enter][up]/[enter][up][down]/[enter]
2026-08-10 13:54:59,excel.exe,SheetChange,Excel,"Sheet:発注データ入力, Cell:$A$9:$A$15, Value:((pywintypes.datetime(2026, 8, 15, 0, 0, tzinfo=TimeZoneInfo('GMT Standard Time', True)),), (pywinty"
2026-08-10 13:55:04,excel.exe,SheetChange,Excel,"Sheet:発注データ入力, Cell:$B$6, Value:A001"
2026-08-10 13:55:07,excel.exe,SheetChange,Excel,"Sheet:発注データ入力, Cell:$B$7, Value:A002"
2026-08-10 13:55:10,excel.exe,SheetChange,Excel,"Sheet:発注データ入力, Cell:$B$8, Value:A003"
2026-08-10 13:55:12,excel.exe,SheetChange,Excel,"Sheet:発注データ入力, Cell:$B$9, Value:A004"
2026-08-10 13:55:14,EXCEL.EXE,KeyLog,テスト発注業務_数式手入力用.xlsx - Excel,Keys:[shift][shift][shift][shift][shift][shift]A[enter][shift][shift][shift][shift][shift][shift][shift][shift][shift]A[backspace][enter][shift][shift][shift][shift][shift][shift][shift]A[enter][shift][shift][shift][shift][shift][shift][shift][shift]A[enter]
2026-08-10 13:55:23,excel.exe,SheetChange,Excel,"Sheet:発注データ入力, Cell:$B$10:$B$15, Value:(('A005',), ('A006',), ('A007',), ('A008',), ('A009',), ('A010',))"
2026-08-10 13:55:42,EXCEL.EXE,KeyLog,テスト発注業務_数式手入力用.xlsx - Excel,Keys:[shift][shift][shift][shift][shift][shift][shift][shift][shift]=[shift][shift][shift][shift][shift][shift][shift][shift][shift][shift][shift][shift][shift][shift][shift][shift][shift][shift][shift][shift][shift]VLOOKUP[shift][shift][shift][shift][shift][shift][shift][shift])[ctrl_l][shift][shift][shift][shift][shift][shift][shift][shift][shift][shift][shift][shift][shift][shift][backspace][shift][shift][shift][shift][shift][shift][shift][shift][shift][shift][shift][shift]()
2026-08-10 13:55:45,EXCEL.EXE,KeyLog,テスト発注業務_数式手入力用.xlsx - Excel,Keys:[left][enter]
2026-08-10 13:55:52,EXCEL.EXE,KeyLog,テスト発注業務_数式手入力用.xlsx - Excel,"Keys:[shift][shift][shift][shift]B6,[backspace],"
2026-08-10 13:55:58,EXCEL.EXE,KeyLog,テスト発注業務_数式手入力用.xlsx - Excel,Keys:syouhinnmasuta[space][enter]
2026-08-10 13:56:03,EXCEL.EXE,KeyLog,テスト発注業務_数式手入力用.xlsx - Excel,Keys:[shift][shift][shift][shift][shift]!A:[shift][shift][shift][shift][shift]C
2026-08-10 13:56:10,excel.exe,SheetChange,Excel,"Sheet:発注データ入力, Cell:$C$6, Formula:=VLOOKUP(B6,商品マスタ!A:C,2,FALSE), Value:ノートPC"
