ログID,ユーザーID,アプリ名,フォルダ名,ファイル名/画面タイトル,操作種別,手動キー入力回数,手動入力時間(秒),コピー＆ペースト回数,所要時間(秒),待機/アイドル時間(秒),ウィンドウ切替回数,CPU使用率(%),メモリ使用量(MB),ブラウザタブ数,処理済フラグ,ログ受信日時,クリック数,スクロール数,マウス移動距離(px)
28392,ea8b1d32-6645-4ae3-8ca7-276260105c75,Antigravity IDE.exe,,Antigravity IDE,macro,0,0,0,5,0,0,50.2,31724.4921875,0,0,2026-08-08 09:31:30,0,0,0
28391,ea8b1d32-6645-4ae3-8ca7-276260105c75,Antigravity IDE.exe,,Antigravity IDE,macro,0,0,0,5,0,0,59.7,31723.9296875,0,0,2026-08-08 09:31:30,0,0,0
28390,ea8b1d32-6645-4ae3-8ca7-276260105c75,Antigravity IDE.exe,,Antigravity IDE,macro,0,0,0,5,0,0,96.1,31710.421875,0,0,2026-08-08 09:31:19,0,0,0
28389,ea8b1d32-6645-4ae3-8ca7-276260105c75,Antigravity IDE.exe,,Antigravity IDE,macro,0,0,0,5,0,0,72.4,31742.17578125,0,0,2026-08-08 09:31:19,0,0,0
28388,ea8b1d32-6645-4ae3-8ca7-276260105c75,Antigravity IDE.exe,,Antigravity IDE,macro,0,0,0,5,0,0,60.5,31682.5625,0,0,2026-08-08 09:31:09,0,0,0
28387,ea8b1d32-6645-4ae3-8ca7-276260105c75,Antigravity IDE.exe,,Antigravity IDE,macro,0,0,0,5,0,0,53.7,31731.10546875,0,0,2026-08-08 09:31:09,0,0,0
28386,ea8b1d32-6645-4ae3-8ca7-276260105c75,Antigravity IDE.exe,,Antigravity IDE,macro,0,0,0,5,0,0,90.3,31686.609375,0,0,2026-08-08 09:31:08,0,0,0
28385,ea8b1d32-6645-4ae3-8ca7-276260105c75,Antigravity IDE.exe,,Antigravity IDE,macro,0,0,0,5,0,0,90.1,31777.30078125,0,0,2026-08-08 09:30:58,0,0,0
28384,ea8b1d32-6645-4ae3-8ca7-276260105c75,Antigravity IDE.exe,,Antigravity IDE,macro,0,0,0,5,0,0,48.2,31811.56640625,0,0,2026-08-08 09:30:58,0,0,0
28383,ea8b1d32-6645-4ae3-8ca7-276260105c75,Antigravity IDE.exe,,Antigravity IDE,macro,0,0,0,5,0,0,36.3,31783.84765625,0,0,2026-08-08 09:30:48,0,0,0
28382,ea8b1d32-6645-4ae3-8ca7-276260105c75,Antigravity IDE.exe,,Antigravity IDE,macro,0,0,0,5,0,0,47.0,31787.64453125,0,0,2026-08-08 09:30:47,0,0,0
28381,ea8b1d32-6645-4ae3-8ca7-276260105c75,Antigravity IDE.exe,,Antigravity IDE,macro,0,0,0,5,0,0,54.6,31761.69140625,0,0,2026-08-08 09:30:37,0,0,0
28380,ea8b1d32-6645-4ae3-8ca7-276260105c75,Antigravity IDE.exe,,Antigravity IDE,macro,0,0,0,5,0,0,99.8,31830.8046875,0,0,2026-08-08 09:30:37,0,0,0
28379,ea8b1d32-6645-4ae3-8ca7-276260105c75,Antigravity IDE.exe,,Antigravity IDE,macro,0,0,0,5,0,0,47.6,31884.69140625,0,0,2026-08-08 09:30:26,0,0,0
28378,ea8b1d32-6645-4ae3-8ca7-276260105c75,Antigravity IDE.exe,,Antigravity IDE,macro,0,0,0,5,0,0,41.7,31808.83984375,0,0,2026-08-08 09:30:26,0,0,0
28377,ea8b1d32-6645-4ae3-8ca7-276260105c75,Antigravity IDE.exe,,Antigravity IDE,macro,0,0,0,5,0,0,43.1,31803.76953125,0,0,2026-08-08 09:30:16,0,0,0
28376,ea8b1d32-6645-4ae3-8ca7-276260105c75,Antigravity IDE.exe,,Antigravity IDE,macro,0,0,0,5,0,0,46.0,31807.94921875,0,0,2026-08-08 09:30:15,0,0,0
28375,ea8b1d32-6645-4ae3-8ca7-276260105c75,Antigravity IDE.exe,,Antigravity IDE,macro,0,0,0,5,0,0,44.8,31812.53125,0,0,2026-08-08 09:30:05,0,0,0
28374,ea8b1d32-6645-4ae3-8ca7-276260105c75,Antigravity IDE.exe,,Antigravity IDE,macro,0,0,0,5,0,0,50.2,31789.56640625,0,0,2026-08-08 09:30:05,0,0,0
28373,ea8b1d32-6645-4ae3-8ca7-276260105c75,Antigravity IDE.exe,,Antigravity IDE,macro,0,0,0,5,0,0,56.6,31844.265625,0,0,2026-08-08 09:29:55,0,0,0
28372,ea8b1d32-6645-4ae3-8ca7-276260105c75,Antigravity IDE.exe,,Antigravity IDE,macro,0,0,0,5,0,0,77.8,31817.0625,0,0,2026-08-08 09:29:54,0,0,0
28371,ea8b1d32-6645-4ae3-8ca7-276260105c75,Antigravity IDE.exe,,Antigravity IDE,macro,0,0,0,5,0,0,81.4,31833.625,0,0,2026-08-08 09:29:44,0,0,0
28370,ea8b1d32-6645-4ae3-8ca7-276260105c75,Antigravity IDE.exe,,Antigravity IDE,macro,0,0,0,5,0,0,45.4,31850.30078125,0,0,2026-08-08 09:29:44,0,0,0
28369,ea8b1d32-6645-4ae3-8ca7-276260105c75,Antigravity IDE.exe,,Antigravity IDE,macro,0,0,0,5,0,0,42.3,31853.1484375,0,0,2026-08-08 09:29:33,0,0,0
28368,ea8b1d32-6645-4ae3-8ca7-276260105c75,Antigravity IDE.exe,,Antigravity IDE,macro,0,0,0,5,0,0,50.8,31842.28515625,0,0,2026-08-08 09:29:33,0,0,0
28367,ea8b1d32-6645-4ae3-8ca7-276260105c75,Antigravity IDE.exe,,Antigravity IDE,macro,0,0,0,5,0,0,48.6,31802.4375,0,0,2026-08-08 09:29:23,0,0,0
28366,ea8b1d32-6645-4ae3-8ca7-276260105c75,Antigravity IDE.exe,,Antigravity IDE,macro,0,0,0,5,0,0,40.6,31752.703125,0,0,2026-08-08 09:29:23,0,0,0
28365,ea8b1d32-6645-4ae3-8ca7-276260105c75,chrome.exe,,詳細DX抽出レポート - 20260727 (ミクロビュー) - Google Chrome,macro,0,0,0,5,0,0,70.9,31868.0625,0,0,2026-08-08 09:29:12,0,0,0
28364,ea8b1d32-6645-4ae3-8ca7-276260105c75,chrome.exe,,詳細DX抽出レポート - 20260727 (ミクロビュー) - Google Chrome,macro,0,0,0,5,0,0,50.5,31876.68359375,0,0,2026-08-08 09:28:55,0,0,0
28363,ea8b1d32-6645-4ae3-8ca7-276260105c75,chrome.exe,,詳細DX抽出レポート - 20260727 (ミクロビュー) - Google Chrome,macro,0,0,0,5,0,0,38.4,31828.3671875,0,0,2026-08-08 09:28:45,0,0,0
28362,ea8b1d32-6645-4ae3-8ca7-276260105c75,chrome.exe,,詳細DX抽出レポート - 20260727 (ミクロビュー) - Google Chrome,macro,0,0,0,5,0,0,36.6,31809.51953125,0,0,2026-08-08 09:28:44,0,0,0
28361,ea8b1d32-6645-4ae3-8ca7-276260105c75,chrome.exe,,詳細DX抽出レポート - 20260727 (ミクロビュー) - Google Chrome,macro,0,0,0,5,0,0,34.8,31854.34375,0,0,2026-08-08 09:28:34,0,0,0
28360,ea8b1d32-6645-4ae3-8ca7-276260105c75,chrome.exe,,詳細DX抽出レポート - 20260727 (ミクロビュー) - Google Chrome,macro,0,0,0,5,0,0,38.9,31838.4375,0,0,2026-08-08 09:28:34,0,0,0
