id,user_id,app_name,folder_name,file_name,operation_type,manual_typing_count,manual_typing_time,copy_paste_count,duration_seconds,idle_time_seconds,context_switch_count,cpu_usage_percent,memory_usage_mb,browser_tab_count,is_processed,received_at,click_count,scroll_count,mouse_distance,right_click_count,shortcut_key_count,shortcut_details
74540,test_user_sysops_01,EXCEL.EXE,,自動処理スクリプト.py,スクリプト開発,300,0,20,600,0,0,,,0,0,1786633942.5904734,50,0,0,5,45,
74539,test_user_sysops_01,EXCEL.EXE,,自動処理スクリプト.py,スクリプト開発,300,0,20,600,0,0,,,0,0,1786634542.5904734,50,0,0,5,45,
74538,test_user_sysops_01,EXCEL.EXE,,自動処理スクリプト.py,スクリプト開発,300,0,20,600,0,0,,,0,0,1786635142.5904734,50,0,0,5,45,
74537,test_user_sysops_01,EXCEL.EXE,,自動処理スクリプト.py,スクリプト開発,300,0,20,600,0,0,,,0,0,1786635742.5904734,50,0,0,5,45,
74536,test_user_sysops_01,EXCEL.EXE,,自動処理スクリプト.py,スクリプト開発,300,0,20,600,0,0,,,0,0,1786636342.5904734,50,0,0,5,45,
74535,test_user_sysops_01,EXCEL.EXE,,自動処理スクリプト.py,スクリプト開発,300,0,20,600,0,0,,,0,0,1786636942.5904734,50,0,0,5,45,
74534,test_user_sysops_01,EXCEL.EXE,,自動処理スクリプト.py,スクリプト開発,300,0,20,600,0,0,,,0,0,1786637542.5904734,50,0,0,5,45,
74533,test_user_sysops_01,EXCEL.EXE,,自動処理スクリプト.py,スクリプト開発,300,0,20,600,0,0,,,0,0,1786638142.5904734,50,0,0,5,45,
74532,test_user_sysops_01,EXCEL.EXE,,自動処理スクリプト.py,スクリプト開発,300,0,20,600,0,0,,,0,0,1786638742.5904734,50,0,0,5,45,
74531,test_user_sysops_01,EXCEL.EXE,,自動処理スクリプト.py,スクリプト開発,300,0,20,600,0,0,,,0,0,1786639342.5904734,50,0,0,5,45,
74530,test_user_sysops_01,EXCEL.EXE,,月次サーバー稼働報告書.xlsx,手動入力/コピペ,50,0,5,300,0,0,,,0,0,1786717042.5904734,20,0,0,15,2,
74529,test_user_sysops_01,EXCEL.EXE,,月次サーバー稼働報告書.xlsx,手動入力/コピペ,50,0,5,300,0,0,,,0,0,1786717342.5904734,20,0,0,15,2,
74528,test_user_sysops_01,EXCEL.EXE,,月次サーバー稼働報告書.xlsx,手動入力/コピペ,50,0,5,300,0,0,,,0,0,1786717642.5904734,20,0,0,15,2,
74527,test_user_sysops_01,EXCEL.EXE,,月次サーバー稼働報告書.xlsx,手動入力/コピペ,50,0,5,300,0,0,,,0,0,1786717942.5904734,20,0,0,15,2,
74526,test_user_sysops_01,EXCEL.EXE,,月次サーバー稼働報告書.xlsx,手動入力/コピペ,50,0,5,300,0,0,,,0,0,1786718242.5904734,20,0,0,15,2,
74525,test_user_sysops_01,EXCEL.EXE,,月次サーバー稼働報告書.xlsx,手動入力/コピペ,50,0,5,300,0,0,,,0,0,1786718542.5904734,20,0,0,15,2,
