ïiñ⁄cd,â◊épcd,∂¿¡◊,íçî‘,î≠íç◊›∏,ëqå…cd
000001,12,111,775966,10HF,4
000155,12,111,000152,99,4
000156,12,111,000159,99,2
000275,12,111,001979,2,íºëó
000349,12,111,067044,2,íºëó
000440,12,111,000506,99,4
000471,12,111,000474,2,íºëó
000478,12,111,R18623,2,íºëó
000530,12,111,R25804,2,íºëó
000563,12,111,R39059,2,íºëó
000603,12,111,760142,10DC,2
000608,12,111,760144,10BA,2
000609,12,111,760145,10CA,2
000610,12,111,760146,10CA,2
000611,12,111,760147,9996,2
000612,12,111,760148,10DC,4
000613,12,111,760150,10CA,2
000614,12,111,760151,10BA,2
000892,12,111,R26229,9997,4
001206,12,111,001206,9997,4
001504,12,111,R37531,9997,4
001539,12,111,R37535,9997,4
001575,12,111,R37543,9997,4
001597,12,111,R37551,9997,4
001606,12,111,R37557,9997,4
001629,12,111,R37565,9997,4
001638,12,111,R37569,9997,4
001645,12,111,R37573,9997,4
001658,12,111,R37579,9997,4
001666,12,111,R37583,9997,4
001739,12,111,R37597,9997,4
001740,12,111,R37598,9997,4
001745,12,111,001775,2,íºëó
001870,12,111,R37627,9997,4
001871,12,111,R37628,9997,4
002026,12,111,757706,10CA,2
002027,12,111,753032,10BA,2
002029,12,111,753033,10BA,2
002215,12,111,R37640,9997,4
002217,12,111,R17284,2,íºëó
002223,12,111,740126,9997,íºëó
002225,12,111,002239,2,íºëó
002231,12,111,R35490,2,íºëó
002241,12,111,R17286,2,íºëó
002242,12,111,R27798,2,íºëó
002246,12,111,067082,2,íºëó
002248,12,111,002251,2,íºëó
003002,12,111,758564,9997,4
003022,12,111,758582,10BA,4
003034,12,111,758555,10BA,4
003035,12,111,758557,10AA,4
003035,13,111,772398,10AA,4
003038,12,111,758560,10BA,4
003039,12,111,758561,10JF,4
003069,12,111,752387,10BA,4
003072,12,111,752389,10BA,4
003107,12,111,759538,10BA,4
003108,12,111,759554,10BA,4
003109,12,111,759545,10AA,4
003111,12,111,759561,10BA,4
003113,12,111,759584,10BA,4
003116,12,111,759601,10AA,4
003123,12,111,759421,10BA,4
003124,12,111,759424,10CA,4
003126,12,111,759398,10BA,4
003127,12,111,759406,10AA,4
003128,12,111,759412,10BA,4
003129,12,111,759414,10AA,4
003142,12,111,758802,10EC,4
003156,12,111,759679,9997,2
003156,12,111,759679,9997,4
003158,12,111,759692,10AA,4
003159,12,111,759702,10BA,4
003160,12,111,759712,9997,2
003163,12,111,759730,10CA,4
003164,12,111,759737,10BA,4
003167,12,111,759874,10CA,4
003197,12,111,750234,10BA,4
003198,12,111,750018,9997,2
003198,12,111,750018,9997,4
003337,12,111,750111,10AA,4
003355,12,111,780718,9997,2
003355,12,111,780718,9997,4
003364,12,111,R28005,2,íºëó
003575,12,111,753143,10AA,4
003575,13,111,751073,10AA,4
003576,12,111,753140,10AA,4
003576,13,111,751065,10AA,4
003577,12,111,753141,10AA,4
003577,13,111,751066,10AA,4
003578,12,111,753144,10AA,4
003578,13,111,751074,10AA,4
003580,12,111,757920,10BA,4
003581,12,111,757919,10CA,4
003584,12,111,753135,10BA,4
003584,13,111,751061,10BA,4
003585,12,111,753136,10AA,4
003585,13,111,751064,10AA,4
003586,12,111,753137,10AA,4
003586,13,111,751063,10AA,4
003587,12,111,757921,10BA,4
003587,13,111,768808,10BA,4
003588,12,111,757901,10BA,4
003588,13,111,769391,10BA,4
003589,12,111,753145,10BA,4
003590,12,111,753139,10BA,4
003590,13,111,751062,10BA,4
003591,12,111,757902,10BA,4
003591,13,111,768772,10BA,4
003592,12,111,757903,10BA,4
003592,13,111,768773,10BA,4
003593,12,111,757922,10CA,4
003596,12,111,753146,10BA,4
003604,12,111,757941,10BA,4
003604,13,111,768845,10BA,4
003605,12,111,753157,10BA,4
003615,12,111,757871,10BA,4
003615,13,111,768783,10BA,4
003621,12,111,757946,10JF,4
003621,13,111,769183,10JF,4
003622,12,111,757947,10JF,4
003622,13,111,769184,10JF,4
003623,12,111,753167,10BA,4
003624,12,111,753168,10BA,4
003625,12,111,757948,10BA,4
003626,12,111,753169,10BA,4
003630,12,111,753225,10BA,4
003630,13,111,751179,10BA,4
003631,12,111,753224,10BA,4
003631,13,111,751178,10BA,4
003632,12,111,758017,10CA,4
003632,13,111,769017,10CA,4
003633,12,111,758018,10BA,4
003633,13,111,769018,10BA,4
003634,12,111,758019,10BA,4
003634,13,111,769019,10BA,4
003636,12,111,753220,10AA,4
003636,13,111,751161,10AA,4
003637,12,111,753222,10BA,4
003637,13,111,751162,10BA,4
003638,12,111,753221,10AA,4
003638,13,111,751160,10AA,4
003639,12,111,758015,10BA,4
003639,13,111,768982,10BA,4
003686,12,111,758135,10BA,4
003686,13,111,769021,10BA,4
003687,12,111,758136,10BA,4
003687,13,111,769022,10BA,4
003693,12,111,753274,10AA,4
003693,13,111,754497,10AA,4
003697,12,111,758041,10BA,4
003697,13,111,769074,10BA,4
003705,12,111,753249,10JF,4
003705,13,111,751208,10JF,4
003706,12,111,753250,10JF,4
003707,12,111,753251,10JF,4
003708,12,111,758064,10JF,4
003712,12,111,753374,10AA,4
003712,13,111,751053,10AA,4
003715,12,111,758262,10AA,4
003716,12,111,753376,10BA,4
003718,12,111,753377,10BA,4
003718,13,111,754546,10BA,4
003719,12,111,758263,10BA,4
003726,12,111,758265,10CA,4
003727,12,111,754477,10BA,4
003735,12,111,758077,10CA,4
003740,12,111,758083,10DA,4
003745,12,111,758089,9997,4
003745,13,111,769402,9997,4
003747,12,111,758091,10BA,4
003747,13,111,769048,10BA,4
003757,12,111,753254,10BA,4
003757,13,111,751184,10BA,4
003759,12,111,758101,10BA,4
003778,12,111,758112,9997,4
003779,12,111,753259,9997,4
003789,12,111,758271,9997,4
003790,12,111,758272,9997,4
003790,13,111,769066,9997,4
003797,12,111,753263,10CA,4
003818,12,111,758181,10BA,4
003818,13,111,769162,10BA,4
003820,12,111,758182,10CA,4
003820,13,111,769164,10CA,4
003821,12,111,758183,10BA,4
003821,13,111,769163,10BA,4
003862,12,111,753275,10AA,4
003863,12,111,758143,10BA,4
003864,12,111,758141,10BA,4
003865,12,111,753276,10AA,4
003866,12,111,753286,10BA,4
003867,12,111,753284,10AA,4
003870,12,111,753285,10CA,4
003871,12,111,758144,10CB,4
003880,12,111,753373,10AA,4
003880,13,111,751278,10AA,4
003883,12,111,753355,10AA,4
003883,13,111,751270,10AA,4
003885,12,111,753356,10BA,4
003888,12,111,753368,10BA,4
003888,13,111,751273,10BA,4
003892,12,111,753370,10AA,4
003892,13,111,754541,10AA,4
003894,12,111,758249,10BA,4
003895,12,111,758250,10CA,4
003896,12,111,758145,10BA,4
003896,13,111,769412,10BA,4
003897,12,111,753291,10AA,4
003897,13,111,751196,10AA,4
003904,12,111,753478,10AA,4
003904,13,111,751339,10AA,4
003906,12,111,753479,10AA,4
003906,13,111,751337,10AA,4
003909,12,111,758435,10CA,4
003909,13,111,769251,10CA,4
003911,12,111,758436,10BA,4
003911,13,111,769246,10BA,4
003913,12,111,758437,10BA,4
003913,13,111,769250,10BA,4
003915,12,111,758438,10BA,4
003915,13,111,769245,10BA,4
003917,12,111,753480,10AA,4
003918,12,111,758440,10BA,4
003919,12,111,758441,10BA,4
003919,13,111,769252,10BA,4
003920,12,111,758442,10BA,4
003920,13,111,769247,10BA,4
003921,12,111,758443,10CA,4
003921,13,111,769253,10CA,4
003922,12,111,758444,10BA,4
003922,13,111,769249,10BA,4
003926,12,111,758462,9997,4
003957,12,111,756626,10BA,4
003960,12,111,756629,10BA,4
003960,13,111,769429,10BA,4
003970,12,111,752556,10AA,4
003970,13,111,751382,10AA,4
003971,12,111,752555,10AA,4
003975,12,111,752545,10AA,4
003975,13,111,751372,10AA,4
003976,12,111,752547,10AA,4
003976,13,111,754512,10AA,4
003977,12,111,752546,10BA,4
003977,13,111,751373,10BA,4
003979,12,111,756422,10BA,4
003979,13,111,769314,10BA,4
003980,12,111,756421,10BA,4
003980,13,111,769308,10BA,4
003982,12,111,752548,10AA,4
003982,13,111,751375,10AA,4
003983,12,111,752550,10AA,4
003983,13,111,754513,10AA,4
003984,12,111,756424,10BA,4
003984,13,111,769309,10BA,4
003985,12,111,752551,10BA,4
003985,13,111,751378,10BA,4
003986,12,111,756425,10BA,4
003986,13,111,769310,10BA,4
003987,12,111,752549,10BA,4
003987,13,111,751376,10BA,4
003989,12,111,752552,10BA,4
003989,13,111,751379,10BA,4
003990,12,111,756427,10BA,4
003990,13,111,769316,10BA,4
003991,12,111,752554,10BA,4
003991,13,111,751380,10BA,4
003992,12,111,753379,10AA,4
003992,13,111,751309,10AA,4
004002,12,111,758289,10BA,4
004002,13,111,769208,10BA,4
004009,12,111,758309,10BA,4
004009,13,111,769217,10BA,4
004011,12,111,753394,10AA,4
004011,13,111,754545,10AA,4
004014,12,111,753392,10BA,4
004014,13,111,751301,10BA,4
004018,12,111,753420,10AA,4
004018,13,111,754558,10AA,4
004019,12,111,753421,10AA,4
004019,13,111,754559,10AA,4
004020,12,111,758335,10CA,4
004021,12,111,753422,10BA,4
004021,13,111,751318,10BA,4
004024,12,111,758337,10BA,4
004024,13,111,769223,10BA,4
004025,12,111,758338,10BA,4
004025,13,111,772418,10BA,4
004026,12,111,758339,10CA,4
004026,13,111,772419,10CA,4
004027,12,111,758340,10CA,4
004033,13,111,769227,10BA,4
004034,13,111,751322,10BA,4
004035,13,111,751323,10BA,4
004039,13,111,769228,10BA,4
004040,13,111,769229,10CA,4
004041,13,111,769230,10CA,4
004042,13,111,769231,10CA,4
004047,13,111,751324,10BA,4
004048,13,111,751325,10BA,4
004049,13,111,769232,10BA,4
004050,13,111,769233,10CA,4
004051,13,111,751326,10BA,4
004054,12,111,758341,9997,4
004056,12,111,758343,9997,4
004057,12,111,758458,9997,4
004068,12,111,753413,10AA,4
004068,13,111,754550,10AA,4
004072,12,111,753455,10AA,4
004072,13,111,751330,10AA,4
004073,12,111,753457,10CA,4
004075,12,111,758409,9997,4
004076,12,111,758410,10CA,4
004078,12,111,753456,10BA,4
004078,13,111,751331,10BA,4
004079,12,111,758401,10CA,4
004079,13,111,769451,10CA,4
004080,12,111,758402,10JF,4
004080,13,111,769452,10JF,4
004090,12,111,753431,10BA,4
004090,13,111,751359,10BA,4
004096,12,111,753436,10BA,4
004097,12,111,758138,10BA,4
004097,13,111,769261,10BA,4
004109,12,111,758368,10BA,4
004109,13,111,769292,10BA,4
004111,12,111,758411,10BA,4
004111,13,111,751368,10BA,4
004112,13,111,754424,10BA,2
004113,13,111,754426,10BA,4
004114,12,111,753461,10BA,4
004114,13,111,R6345B,10BA,4
004115,13,111,754422,10AA,2
004116,13,111,754423,10AA,2
004117,12,111,753463,10BA,2
004117,13,111,751370,10BA,2
004122,12,111,752807,10BA,4
004122,13,111,R6363B,10BA,4
004124,12,111,752788,10AA,4
004124,13,111,751496,10AA,4
004126,12,111,752790,10AA,4
004126,13,111,751498,10AA,4
004127,12,111,752791,10AA,4
004127,13,111,790999,10AA,4
004128,12,111,752792,10AA,4
004128,13,111,791000,10AA,4
004129,12,111,756991,10BA,4
004130,12,111,752793,10AA,4
004130,13,111,R6364B,10AA,4
004131,12,111,752794,10AA,4
004131,13,111,751495,10AA,4
004132,12,111,752795,10AA,4
004132,13,111,751499,10AA,4
004133,12,111,752797,10AA,4
004133,13,111,751500,10AA,4
004134,12,111,752798,10AA,4
004134,13,111,751502,10AA,4
004135,12,111,752799,9997,4
004135,13,111,751503,9997,4
004136,12,111,752800,10AA,4
004136,13,111,751504,10AA,4
004137,12,111,756992,10AA,4
004138,12,111,752801,10AA,4
004138,13,111,751501,10AA,4
004139,12,111,756993,10AA,4
004139,13,111,769521,10AA,4
004140,12,111,752802,10AA,4
004140,13,111,751505,10AA,4
004141,12,111,752782,10AA,4
004142,12,111,752783,10AA,4
004143,12,111,752784,10AA,4
004144,12,111,752785,10AA,4
004145,12,111,752786,10AA,4
004146,12,111,752787,10AA,4
004147,12,111,757019,10BA,4
004150,12,111,757020,10BA,4
004151,12,111,752811,10BA,4
004155,12,111,757021,10AA,4
004155,13,111,769524,10AA,4
004156,12,111,757022,10BA,4
004156,13,111,769525,10BA,4
004157,12,111,757028,10AA,4
004158,12,111,752820,10AA,4
004160,12,111,752821,10AA,4
004160,13,111,754572,10AA,4
004161,12,111,752822,10AA,4
004161,13,111,755020,10AA,4
004162,12,111,752824,10AA,4
004163,12,111,757029,10BA,4
004164,12,111,757030,10BA,4
004166,12,111,757031,10BA,4
004167,12,111,757032,10BA,4
004168,12,111,757033,10BA,4
004170,12,111,757078,10BA,4
004172,12,111,757080,10BA,4
004173,12,111,757081,10CA,4
004174,12,111,752817,10AA,4
004175,12,111,752818,10AA,4
004176,12,111,757023,10BA,4
004177,12,111,754478,10AA,4
004178,12,111,772342,10BA,4
004179,12,111,757027,10BA,4
004180,12,111,752819,10AA,4
004180,13,111,R6365B,10AA,4
004183,12,111,757061,10CA,4
004184,12,111,757063,10BA,4
004185,12,111,757064,10BA,4
004186,12,111,757065,10AA,4
004187,12,111,757066,10BA,4
004188,12,111,757067,10BA,4
004189,12,111,757068,10BA,4
004190,12,111,757069,9996,4
004191,12,111,757070,10BA,4
004192,12,111,757072,10BA,4
004193,12,111,757073,10BA,4
004194,12,111,752813,10BA,4
004195,12,111,752812,10AA,4
004196,12,111,757050,10CA,4
004197,12,111,752815,10AA,4
004198,12,111,752816,10AA,4
004199,12,111,757052,10AA,4
004200,12,111,757054,10AA,4
004201,12,111,757055,10AA,4
004202,12,111,757056,10BA,4
004203,12,111,757057,10BA,4
004205,12,111,757034,10BA,4
004206,12,111,757036,10AA,4
004206,13,111,765154,10AA,4
004207,12,111,752825,10AA,4
004207,13,111,754573,10AA,4
004208,12,111,757037,10BA,4
004209,12,111,757038,10BA,4
004210,12,111,757039,10AA,4
004212,12,111,752758,10JF,4
004217,12,111,756944,10BA,4
004221,12,111,756951,10JF,4
004224,12,111,756955,10JF,4
004227,12,111,756961,10BA,4
004236,12,111,752754,10AA,4
004237,12,111,756940,10JF,4
004238,12,111,752755,10JF,4
004240,12,111,752756,10AA,4
004241,12,111,752757,10BA,4
004263,12,111,752771,10AA,4
004264,12,111,752772,10AA,4
004265,12,111,752773,10AA,4
004268,12,111,752774,10AA,4
004269,12,111,752775,10AA,4
004270,12,111,752776,10AA,4
004306,12,111,756079,10BA,4
004307,12,111,752305,10AA,4
004308,12,111,756082,10BA,4
004309,12,111,756080,10BA,4
004313,12,111,752312,10JF,4
004314,12,111,752313,10AA,4
004315,12,111,752314,10JF,4
004316,12,111,752315,10JF,4
004317,12,111,752317,10AA,4
004319,12,111,752318,10AA,4
004320,12,111,752321,10AA,4
004321,12,111,752310,10JF,4
004322,12,111,752311,10JF,4
004329,12,111,752324,10AA,4
004330,12,111,752326,10AA,4
004330,13,111,752330,10AA,4
004331,12,111,752327,10AA,4
004331,13,111,752331,10AA,4
004332,12,111,752329,10AA,4
004332,13,111,752332,10AA,4
004353,12,111,754730,10AA,4
004353,13,111,754070,10AA,4
004354,12,111,754732,10AA,4
004354,13,111,750934,10AA,4
004365,12,111,754734,10AA,4
004365,13,111,754747,10AA,4
004366,12,111,754735,10AA,4
004366,13,111,754748,10AA,4
004367,12,111,779739,10BA,4
004367,13,111,779757,10BA,4
004417,12,111,755813,10AA,4
004417,13,111,754066,10AA,4
004418,12,111,755814,10AA,4
004418,13,111,762064,10AA,4
004419,12,111,755815,10AA,4
004419,13,111,768448,10AA,4
004421,12,111,755817,9997,4
004421,13,111,770138,9997,4
004486,12,111,755969,10AA,4
004486,13,111,768489,10AA,4
004526,12,111,753524,10BA,4
004527,12,111,753523,10BA,4
004528,12,111,753526,10BA,4
004562,12,111,786731,9997,4
004564,12,111,758489,9997,2
004588,12,111,752344,10JF,4
004588,13,111,754563,10JF,4
004590,12,111,752345,10JF,4
004590,13,111,754564,10JF,4
004611,12,111,752736,10AA,4
004612,12,111,756910,10AA,4
004613,12,111,756911,10BA,2
004614,12,111,752737,10BA,2
004647,12,111,756404,10BA,4
004655,12,111,756406,10BA,4
004656,12,111,752504,10AA,4
004714,12,111,756609,10BA,4
004715,12,111,756608,10BA,4
004716,12,111,752618,10AA,4
004716,13,111,754518,10AA,4
004717,12,111,752619,10AA,4
004717,13,111,754519,10AA,4
004718,12,111,752621,10BA,4
004718,13,111,754520,10BA,4
004719,12,111,752622,10CA,4
