発生日時,終了日時,実作業時間,主な作業内容
2026/04/10 09:10,2026/04/10 09:11,0:05,サイボウズ（forestway.cybozu.com/o/ag.cgi?page=MyFolderIndex）での情報確認・処理 / サイボウズ（forestway.cybozu.com/o/ag.cgi?page=MyFolderMessageView&mDBID=10&mEID=90109&mDID=296621&cp=ml&sp=&tp=）での情報確認・処理 / サイボウズ（メッセージ...
2026/04/10 09:12,2026/04/10 09:12,0:05,Antigravityを用いた「システム開発・改善」の開発・相談
2026/04/10 09:12,2026/04/10 09:12,0:05,メール（弊社 ネット回線の契約について）の閲覧・作成
2026/04/10 09:12,2026/04/10 09:20,0:08,Webサイト（Gemini）の閲覧・調査 / Webサイト（お客様のアカウント保護にご協力ください）の閲覧・調査 / Webサイト（テスト - Chat）の閲覧・調査 / Webサイト（リダイレクト中）の閲覧・調査
2026/04/10 09:20,2026/04/10 09:20,0:05,Webサイト（伊藤 健人 - 管理コンソール）の閲覧・調査 / 本人確認 - Google Chrome
2026/04/10 09:20,2026/04/10 09:20,0:05,メール（Gmail アカウントからメールを移行する ?|? Data migration ?|? Google Workspace Help）の閲覧・作成
2026/04/10 09:20,2026/04/10 09:20,0:05,Webサイト（CLASSリリース運用記録：ココデカウ・Forestway保守履歴 - NotebookLM）の閲覧・調査
2026/04/10 09:20,2026/04/10 09:20,0:05,Webサイト（Gemini）の閲覧・調査 / 本人確認 - Google Chrome
2026/04/10 09:20,2026/04/10 09:20,0:05,メール（Gmail アカウントからメールを移行する ?|? Data migration ?|? Google Workspace Help）の閲覧・作成
2026/04/10 09:21,2026/04/10 09:22,0:05,Webサイト（BitLocker解除ができずPCが立ち上がらない - Microsoft Q&A）の閲覧・調査 / Webサイト（bitlockerに回復キーを要求されるループに陥った後の対処 - Microsoft Q&A）の閲覧・調査 / Webサイト（ある日急にBitLockerでパスワードを求められる。 - Google 検索）の閲覧・調査
2026/04/10 09:23,2026/04/10 09:39,0:16,Webサイト（192.169.5.5 - リモート デスクトップ接続）の閲覧・調査 / Webサイト（BitLocker回復キーを突然求められる原因と確認方法をわかりやすく解説｜データ復旧・復元サービス【デジタルデータリカバリー】）の閲覧・調査 / Webサイト（Gemini）の閲覧・調査 / Webサイト（My Account）の閲覧・調査 / Webサイト（bitlockerに回復キーを...
2026/04/10 09:39,2026/04/10 09:39,0:05,サイボウズ（メッセージの詳細 - サイボウズ Office）での情報確認・処理
2026/04/10 09:40,2026/04/10 09:40,0:05,Webサイト（admin.microsoft.com/?auth_upn=t_ito%40forestwayoffice.onmicrosoft.com&source=applauncher#/homepage）の閲覧・調査
2026/04/10 09:40,2026/04/10 09:40,0:05,Webサイト（admin.cloud.microsoft/?auth_upn=t_ito%40forestwayoffice.onmicrosoft.com&source=applauncher&ref=/homepage）の閲覧・調査 / Webサイト（admin.microsoft.com/?auth_upn=t_ito%40forestwayoffice.onmicrosoft.com...
