日付,作業時間帯,合計時間,開発プロジェクト・作業内容
2026/04/10,"09:12～09:17, 11:53～11:58, 13:18～13:51, 15:14～15:22, 15:54～16:06, 16:22～17:14, 17:30～17:53, 18:22～18:35",3:01,Antigravity
2026/04/10,"12:36～12:38, 12:55～13:22",0:38,Windows PowerShell のジャンプ リスト
2026/04/10,"12:36～12:39, 12:57～13:12, 15:29～15:30, 16:06～16:11",0:37,Windows PowerShell
2026/04/10,13:10～13:14,0:08,管理者: Windows PowerShell
2026/04/10,13:10～13:12,0:06,選択管理者: Windows PowerShell
2026/04/10,16:05～16:10,0:05,プログラム（Gitコミット: Fix pagination bypass bug in internal email exporter）の実装・修正
2026/04/10,16:06～16:11,0:05,C:\Users\フォーレスト026\AppData\Roaming\Microsoft\Internet Explorer\Quick Launch\User Pinned\TaskBar\Antigravity.lnk
2026/04/10,16:10～16:15,0:05,google.com/search?q=antigravity&oq=Anti&gs_lcrp=EgZjaHJvbWUqCggAEAAYsQMYgAQyCggAEAAYsQMYgAQyBggBEEUYOTIHCAIQABiABDIKCAMQABixAxiABDIKCAQQABixAxiABDIHCAUQABiABDIMCAYQABgEGLEDGIAEMgkIBxAAGAQYgAQyDAgIEAAYBBixAxiABDIMCAkQABgEGLEDGIAE0gEIMjAwNmowajeoAgiwAgHxBT5AOaeDQ4Ky&sourceid=chrome&ie=UTF-8 - Google Chrome
2026/04/10,16:10～16:15,0:05,antigravity - Google 検索 - Google Chrome
2026/04/10,16:10～16:15,0:05,Google Antigravity - Google Chrome
2026/04/10,"16:10～16:12, 17:01～17:06",0:12,Google Antigravity Download - Google Chrome
2026/04/10,16:11～16:11,0:05,Google Antigravity Download
2026/04/10,16:11～16:22,0:15,Antigravity (User) セットアップ
2026/04/10,16:14～16:19,0:05,【初心者向け】GoogleのAI「Gemini」に毎朝ニュースサマリーをLINEに送ってもらおう！ #GAS - Qiita
2026/04/10,16:14～16:19,0:05,閲覧: 【初心者向け】GoogleのAI「Gemini」に毎朝ニュースサマリーをLINEに送ってもらおう！ #GAS - Qiita
2026/04/10,16:29～16:34,0:05,Google Antigravity および他 2 ページ - My profile ２ - Microsoft? Edge
2026/04/10,16:29～16:34,0:05,閲覧: Google Antigravity Changelog
2026/04/10,16:29～16:29,0:05,Google Antigravity Changelog および他 2 ページ - My profile ２ - Microsoft? Edge
2026/04/10,16:29～16:34,0:05,Google Antigravity Changelog
2026/04/10,16:29～16:34,0:05,GoogleでAntigravity Changelogを検索 および他 2 ページ - My profile ２ - Microsoft? Edge
2026/04/10,16:59～17:04,0:05,プログラム（Gitコミット: feat: ビルド用バッチファイルの追加とプロジェクトディレクトリの整理）の実装・修正
2026/04/10,16:59～17:04,0:05,Google Antigravity および他 5 ページ - My profile １ - Microsoft? Edge
2026/04/13,"09:09～09:14, 10:04～10:09, 10:49～10:54, 11:06～11:58, 12:50～13:02, 13:21～13:42, 14:48～14:57, 15:41～17:01, 17:56～18:21, 19:48～19:55, 20:24～20:28",4:25,Antigravity
2026/04/13,09:30～09:35,0:05,GoogleでAntigravity Changelogを検索 および他 2 ページ - My profile ２ - Microsoft? Edge
2026/04/13,13:07～13:12,0:05,【初心者向け】GoogleのAI「Gemini」に毎朝ニュースサマリーをLINEに送ってもらおう！ #GAS - Qiita
2026/04/13,13:07～13:12,0:05,閲覧: 【初心者向け】GoogleのAI「Gemini」に毎朝ニュースサマリーをLINEに送ってもらおう！ #GAS - Qiita
2026/04/13,13:42～13:47,0:05,Visual Studio Code
2026/04/13,15:05～15:10,0:05,Google Antigravity Download
2026/04/13,"18:11～18:16, 18:27～18:40, 19:00～19:16, 19:45～19:58, 20:22～20:24",1:09,バッチファイル出力先とAdobeインベントリ - Google Gemini - Google Chrome
2026/04/14,"09:02～09:55, 10:18～10:46, 13:46～13:54, 15:37～15:39, 16:46～16:51",1:56,Antigravity
2026/04/14,"10:29～11:11, 12:09～12:14, 13:36～13:37, 14:02～14:07",1:03,バッチファイル出力先とAdobeインベントリ - Google Gemini - Google Chrome
2026/04/14,"12:09～12:14, 13:36～13:41, 14:02～14:07",0:15,バッチファイル出力先とAdobeインベントリ - Google Gemini
2026/04/14,"13:13～13:22, 14:52～14:57, 15:29～15:34",0:24,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
2026/04/14,"13:13～13:22, 14:52～14:55, 15:29～15:29",0:27,Windows PowerShell
2026/04/14,"13:48～13:53, 14:52～14:57",0:15,Windows PowerShell ISE
2026/04/14,15:58～16:03,0:05,【初心者向け】GoogleのAI「Gemini」に毎朝ニュースサマリーをLINEに送ってもらおう！ #GAS - Qiita - Google Chrome
2026/04/14,17:37～17:42,0:05,閲覧: e-Stat APIの取得 - Google 検索
