No,フォルダ名,アクション,日時,曜日,時間,日,月
5477,[No.5477]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 SCAWメニュー申請顧客課_池田友香,申請,2023/09/04 14:27,Mon,14,4,9
5477,[No.5477]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 SCAWメニュー申請顧客課_池田友香,決裁,2023/09/04 15:53,Mon,15,4,9
5477,[No.5477]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 SCAWメニュー申請顧客課_池田友香,確認,2023/09/05 11:17,Tue,11,5,9
5477,[No.5477]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 SCAWメニュー申請顧客課_池田友香,確認,2023/09/05 09:23,Tue,9,5,9
5479,[No.5479]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 端末申請_SCAWメニュー申請部署＆名前,申請,2023/09/04 15:27,Mon,15,4,9
5479,[No.5479]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 端末申請_SCAWメニュー申請部署＆名前,承認,2023/09/05 07:29,Tue,7,5,9
5479,[No.5479]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 端末申請_SCAWメニュー申請部署＆名前,決裁,2023/09/05 08:58,Tue,8,5,9
5479,[No.5479]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 端末申請_SCAWメニュー申請部署＆名前,確認,2023/09/05 11:16,Tue,11,5,9
5479,[No.5479]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 端末申請_SCAWメニュー申請部署＆名前,確認,2023/09/05 09:23,Tue,9,5,9
5480,[No.5480]_申請⑥_ SCAW担当者登録申請 SCAW担当者登録申請システム部　坂本＆伊藤,申請,2023/09/04 16:56,Mon,16,4,9
5480,[No.5480]_申請⑥_ SCAW担当者登録申請 SCAW担当者登録申請システム部　坂本＆伊藤,承認,2023/09/04 17:30,Mon,17,4,9
5480,[No.5480]_申請⑥_ SCAW担当者登録申請 SCAW担当者登録申請システム部　坂本＆伊藤,決裁,2023/09/04 17:56,Mon,17,4,9
5480,[No.5480]_申請⑥_ SCAW担当者登録申請 SCAW担当者登録申請システム部　坂本＆伊藤,確認,2023/09/05 11:17,Tue,11,5,9
5480,[No.5480]_申請⑥_ SCAW担当者登録申請 SCAW担当者登録申請システム部　坂本＆伊藤,確認,2023/09/05 09:22,Tue,9,5,9
5481,[No.5481]_稟議書システム関連_経営会議 稟議書システム関連_経営会議 SSLサーバー証明書の更,申請,2023/09/05 19:46,Tue,19,5,9
5481,[No.5481]_稟議書システム関連_経営会議 稟議書システム関連_経営会議 SSLサーバー証明書の更,承認,2023/09/06 09:00,Wed,9,6,9
5481,[No.5481]_稟議書システム関連_経営会議 稟議書システム関連_経営会議 SSLサーバー証明書の更,承認,2023/09/06 09:49,Wed,9,6,9
5481,[No.5481]_稟議書システム関連_経営会議 稟議書システム関連_経営会議 SSLサーバー証明書の更,確認,2023/09/07 09:50,Thu,9,7,9
5481,[No.5481]_稟議書システム関連_経営会議 稟議書システム関連_経営会議 SSLサーバー証明書の更,承認,2023/09/06 12:47,Wed,12,6,9
5481,[No.5481]_稟議書システム関連_経営会議 稟議書システム関連_経営会議 SSLサーバー証明書の更,承認,2023/09/06 11:56,Wed,11,6,9
5481,[No.5481]_稟議書システム関連_経営会議 稟議書システム関連_経営会議 SSLサーバー証明書の更,承認,2023/09/06 12:38,Wed,12,6,9
5481,[No.5481]_稟議書システム関連_経営会議 稟議書システム関連_経営会議 SSLサーバー証明書の更,決裁,2023/09/06 14:00,Wed,14,6,9
5481,[No.5481]_稟議書システム関連_経営会議 稟議書システム関連_経営会議 SSLサーバー証明書の更,決裁,2023/09/06 14:09,Wed,14,6,9
5481,[No.5481]_稟議書システム関連_経営会議 稟議書システム関連_経営会議 SSLサーバー証明書の更,決裁,2023/09/06 16:07,Wed,16,6,9
