Timestamp,ActiveApp,EventType,TargetName,Metadata
2026-08-10 14:19:23,EXCEL.EXE,KeyLog,0810長期欠品管理表.xlsb - Excel,Keys:[shift][shift][shift][shift]=[right][right][right][right][right][enter][up][shift][left][down][down][down][down][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l]
2026-08-10 14:19:27,EXCEL.EXE,KeyLog,,Keys:[tab][tab][tab][tab][tab][tab][tab][tab][tab][tab][tab][tab][tab][tab][tab][tab][tab][tab]
2026-08-10 14:19:33,EXCEL.EXE,KeyLog,0810長期欠品管理表.xlsb - Excel,Keys:[tab]
2026-08-10 14:20:21,EXCEL.EXE,KeyLog,0810長期欠品管理表.xlsb - Excel,Keys:[left][down][right][shift]=[enter][left][left][ctrl_l][down][down][right][up][ctrl_l][shift][up][up][right][down][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l]
2026-08-10 14:20:26,EXCEL.EXE,KeyLog,,Keys:[tab][tab][tab][tab][tab][tab][tab][tab][tab][tab][tab][tab][tab][tab][tab][tab][tab][tab]
2026-08-10 14:20:32,EXCEL.EXE,KeyLog,0810長期欠品管理表.xlsb - Excel,Keys:[down]
2026-08-10 14:20:41,EXCEL.EXE,KeyLog,,Keys:[tab][tab][tab][tab][tab][tab][tab][tab][tab][tab][tab][tab][tab][tab][tab][tab][tab][tab]
2026-08-10 14:20:56,EXCEL.EXE,KeyLog,0810長期欠品管理表.xlsb - Excel,Keys:syun[space][enter][enter]
2026-08-10 14:21:23,EXCEL.EXE,KeyLog,0810長期欠品管理表.xlsb - Excel,Keys:[enter][enter][enter][enter]
2026-08-10 14:21:27,EXCEL.EXE,KeyLog,0810長期欠品管理表.xlsb - Excel,Keys:[enter][enter][enter]
2026-08-10 14:21:33,EXCEL.EXE,Copy,0810長期欠品管理表.xlsb - Excel,"Size:3 chars, Data:[2  ...]"
2026-08-10 14:21:40,EXCEL.EXE,KeyLog,0810長期欠品管理表.xlsb - Excel,Keys:[enter][enter][up][ctrl_l][Ctrl+C][down][down][down][down][down][down][ctrl_l][Ctrl+V][down][ctrl_l][Ctrl+V][down][down][down][down][down][down][down][ctrl_l][Ctrl+V][down][ctrl_l][Ctrl+V][down]
2026-08-10 14:21:59,EXCEL.EXE,Copy,0810長期欠品管理表.xlsb - Excel,"Size:3 chars, Data:[3  ...]"
2026-08-10 14:22:04,EXCEL.EXE,KeyLog,0810長期欠品管理表.xlsb - Excel,Keys:[enter][enter][up][ctrl_l][Ctrl+C][down][ctrl_l][Ctrl+V][down][ctrl_l][Ctrl+V][down][down][down][down][down][down][down]
2026-08-10 14:22:10,EXCEL.EXE,KeyLog,0810長期欠品管理表.xlsb - Excel,Keys:[down][down][up][up]
2026-08-10 14:22:16,EXCEL.EXE,KeyLog,0810長期欠品管理表.xlsb - Excel,Keys:[up][up][up][up][up]
2026-08-10 14:22:29,EXCEL.EXE,Copy,0810長期欠品管理表.xlsb - Excel,"Size:3 chars, Data:[2  ...]"
2026-08-10 14:22:31,EXCEL.EXE,KeyLog,0810長期欠品管理表.xlsb - Excel,Keys:[up][up][down][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][Ctrl+C][down][down][down][down][down]
2026-08-10 14:22:34,EXCEL.EXE,KeyLog,0810長期欠品管理表.xlsb - Excel,Keys:[down][ctrl_l][Ctrl+V][down][ctrl_l][Ctrl+V]
2026-08-10 14:22:40,EXCEL.EXE,KeyLog,0810長期欠品管理表.xlsb - Excel,Keys:[tab][tab]
2026-08-10 14:22:52,EXCEL.EXE,KeyLog,0810長期欠品管理表.xlsb - Excel,Keys:[enter][enter]
2026-08-10 14:22:57,EXCEL.EXE,KeyLog,0810長期欠品管理表.xlsb - Excel,Keys:[ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l]
2026-08-10 14:23:01,EXCEL.EXE,KeyLog,0810長期欠品管理表.xlsb - Excel,Keys:[ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][tab][tab][tab][tab][tab]
2026-08-10 14:23:11,EXCEL.EXE,KeyLog,0810長期欠品管理表.xlsb - Excel,Keys:[tab][tab][tab][tab][tab][tab][tab][tab][tab][tab][tab][tab][tab][tab][tab][tab][tab][tab][tab]
2026-08-10 14:23:22,EXCEL.EXE,KeyLog,,Keys:[ctrl_l][Ctrl+Z][Ctrl+Z][Ctrl+Z][enter][enter][tab][tab][tab][tab][tab][tab][tab][tab][tab][tab][tab][tab][tab][tab][tab][tab][tab][tab][tab][tab][tab]
2026-08-10 14:23:48,EXCEL.EXE,KeyLog,0810長期欠品管理表.xlsb - Excel,Keys:[tab][tab][tab][tab][tab][tab][tab][tab][tab][tab][tab][tab][tab][tab][tab][tab][tab][tab][tab][tab][tab][tab]
2026-08-10 14:23:56,EXCEL.EXE,KeyLog,0810長期欠品管理表.xlsb - Excel,Keys:[tab]
