Timestamp,ActiveApp,EventType,TargetName,Metadata,AI解析要約
2026-08-10 14:19:23,EXCEL.EXE,KeyLog,0810長期欠品管理表.xlsb - Excel,Keys:[shift][shift][shift][shift]=[right][right][right][right][right][enter][up][shift][left][down][down][down][down][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l],"Shiftキーを4回押下している。'='キーを押下している。右方向キーを5回押して5セル右に移動している。Enterキーを1回押して確定している。上方向キーを1回押して1セル上に移動している。Shiftキーを1回押下している。左方向キーを1回押して1セル左に移動している。下方向キーを4回押して4セル下に移動している。左Ctrlキーを7回押下している。"
2026-08-10 14:19:27,EXCEL.EXE,KeyLog,,Keys:[tab][tab][tab][tab][tab][tab][tab][tab][tab][tab][tab][tab][tab][tab][tab][tab][tab][tab],Tabキーを18回押して18セル右に移動している。
2026-08-10 14:19:33,EXCEL.EXE,KeyLog,0810長期欠品管理表.xlsb - Excel,Keys:[tab],Tabキーを1回押して1セル右に移動している。
2026-08-10 14:20:21,EXCEL.EXE,KeyLog,0810長期欠品管理表.xlsb - Excel,Keys:[left][down][right][shift]=[enter][left][left][ctrl_l][down][down][right][up][ctrl_l][shift][up][up][right][down][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l],左方向キーを1回押して1セル左に移動している。下方向キーを1回押して1セル下に移動している。右方向キーを1回押して1セル右に移動している。Shiftキーを1回押下している。'='キーを押下している。Enterキーを1回押して確定している。左方向キーを2回押して2セル左に移動している。左Ctrlキーを1回押下している。下方向キーを2回押して2セル下に移動している。右方向キーを1回押して1セル右に移動している。上方向キーを1回押して1セル上に移動している。左Ctrlキーを1回押下している。Shiftキーを1回押下している。上方向キーを2回押して2セル上に移動している。右方向キーを1回押して1セル右に移動している。下方向キーを1回押して1セル下に移動している。左Ctrlキーを109回押下している。
2026-08-10 14:20:26,EXCEL.EXE,KeyLog,,Keys:[tab][tab][tab][tab][tab][tab][tab][tab][tab][tab][tab][tab][tab][tab][tab][tab][tab][tab],Tabキーを18回押して18セル右に移動している。
2026-08-10 14:20:32,EXCEL.EXE,KeyLog,0810長期欠品管理表.xlsb - Excel,Keys:[down],下方向キーを1回押して1セル下に移動している。
2026-08-10 14:20:41,EXCEL.EXE,KeyLog,,Keys:[tab][tab][tab][tab][tab][tab][tab][tab][tab][tab][tab][tab][tab][tab][tab][tab][tab][tab],Tabキーを18回押して18セル右に移動している。
2026-08-10 14:20:56,EXCEL.EXE,KeyLog,0810長期欠品管理表.xlsb - Excel,Keys:syun[space][enter][enter],『syun 』とキーボードで手入力し、Enterキーを2回押して確定している。
2026-08-10 14:21:23,EXCEL.EXE,KeyLog,0810長期欠品管理表.xlsb - Excel,Keys:[enter][enter][enter][enter][enter][enter][enter],Enterキーを7回押して確定またはセル移動している。
2026-08-10 14:21:33,EXCEL.EXE,Copy,0810長期欠品管理表.xlsb - Excel,"Size:3 chars, Data:[2  ...]",クリップボードに『2 ...』というデータをコピーしている (サイズ: 3文字)。
2026-08-10 14:21:40,EXCEL.EXE,KeyLog,0810長期欠品管理表.xlsb - Excel,Keys:[enter][enter][up][ctrl_l][Ctrl+C][down][down][down][down][down][down][ctrl_l][Ctrl+V][down][ctrl_l][Ctrl+V][down][down][down][down][down][down][down][ctrl_l][Ctrl+V][down][ctrl_l][Ctrl+V][down],Enterキーを2回押して確定またはセル移動している。上方向キーを1回押して1セル上に移動している。**Ctrl+Cキーを押してコピー操作を実行している**。下方向キーを6回押して6セル下に移動している。**Ctrl+Vキーを押して貼り付け操作を実行している**。下方向キーを1回押して1セル下に移動している。**Ctrl+Vキーを押して貼り付け操作を実行している**。下方向キーを7回押して7セル下に移動している。**Ctrl+Vキーを押して貼り付け操作を実行している**。下方向キーを1回押して1セル下に移動している。**Ctrl+Vキーを押して貼り付け操作を実行している**。下方向キーを1回押して1セル下に移動している。
2026-08-10 14:21:59,EXCEL.EXE,Copy,0810長期欠品管理表.xlsb - Excel,"Size:3 chars, Data:[3  ...]",クリップボードに『3 ...』というデータをコピーしている (サイズ: 3文字)。
2026-08-10 14:22:04,EXCEL.EXE,KeyLog,0810長期欠品管理表.xlsb - Excel,Keys:[enter][enter][up][ctrl_l][Ctrl+C][down][ctrl_l][Ctrl+V][down][ctrl_l][Ctrl+V][down][down][down][down][down][down][down],Enterキーを2回押して確定またはセル移動している。上方向キーを1回押して1セル上に移動している。**Ctrl+Cキーを押してコピー操作を実行している**。下方向キーを1回押して1セル下に移動している。**Ctrl+Vキーを押して貼り付け操作を実行している**。下方向キーを1回押して1セル下に移動している。**Ctrl+Vキーを押して貼り付け操作を実行している**。下方向キーを7回押して7セル下に移動している。
2026-08-10 14:22:10,EXCEL.EXE,KeyLog,0810長期欠品管理表.xlsb - Excel,Keys:[down][down][up][up][up][up][up][up][up],下方向キーを2回押して2セル下に移動している。上方向キーを7回押して7セル上に移動している。
2026-08-10 14:22:29,EXCEL.EXE,Copy,0810長期欠品管理表.xlsb - Excel,"Size:3 chars, Data:[2  ...]",クリップボードに『2 ...』というデータをコピーしている (サイズ: 3文字)。
2026-08-10 14:22:31,EXCEL.EXE,KeyLog,0810長期欠品管理表.xlsb - Excel,Keys:[up][up][down][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][Ctrl+C][down][down][down][down][down],上方向キーを2回押して2セル上に移動している。下方向キーを1回押して1セル下に移動している。左Ctrlキーを5回押下している。**Ctrl+Cキーを押してコピー操作を実行している**。下方向キーを5回押して5セル下に移動している。
2026-08-10 14:22:34,EXCEL.EXE,KeyLog,0810長期欠品管理表.xlsb - Excel,Keys:[down][ctrl_l][Ctrl+V][down][ctrl_l][Ctrl+V],下方向キーを1回押して1セル下に移動している。**Ctrl+Vキーを押して貼り付け操作を実行している**。下方向キーを1回押して1セル下に移動している。**Ctrl+Vキーを押して貼り付け操作を実行している**。
